social,likes,createdDate
"instagram",743,2014-12-19T16:16:42Z
"facebook",155,2014-12-19T17:17:12Z
"instagram",743,2014-12-19T17:17:15Z
"facebook",156,2014-12-19T18:17:46Z
"instagram",744,2014-12-19T18:17:48Z
"facebook",156,2014-12-19T19:18:19Z
"instagram",743,2014-12-19T19:18:21Z
"facebook",156,2014-12-19T20:18:52Z
"instagram",743,2014-12-19T20:18:54Z
"facebook",157,2014-12-19T21:19:26Z
"instagram",743,2014-12-19T21:19:29Z
"facebook",158,2014-12-19T22:20:01Z
"instagram",747,2014-12-19T22:20:03Z
"facebook",160,2014-12-19T23:20:34Z
"instagram",747,2014-12-19T23:20:37Z
"facebook",160,2014-12-20T00:21:07Z
"instagram",746,2014-12-20T00:21:10Z
"facebook",160,2014-12-20T01:21:40Z
"instagram",746,2014-12-20T01:21:43Z
"facebook",160,2014-12-20T02:22:13Z
"instagram",746,2014-12-20T02:22:16Z
"facebook",160,2014-12-20T03:22:47Z
"instagram",746,2014-12-20T03:22:50Z
"facebook",160,2014-12-20T04:23:20Z
"instagram",746,2014-12-20T04:23:23Z
"facebook",160,2014-12-20T05:23:53Z
"instagram",746,2014-12-20T05:23:55Z
"facebook",160,2014-12-20T06:24:27Z
"instagram",746,2014-12-20T06:24:29Z
"facebook",160,2014-12-20T07:24:59Z
"instagram",746,2014-12-20T07:25:02Z
"facebook",160,2014-12-20T08:25:32Z
"instagram",746,2014-12-20T08:25:35Z
"facebook",160,2014-12-20T09:26:05Z
"instagram",746,2014-12-20T09:26:07Z
"facebook",160,2014-12-20T10:26:37Z
"instagram",746,2014-12-20T10:26:40Z
"facebook",160,2014-12-20T11:27:10Z
"instagram",746,2014-12-20T11:27:12Z
"facebook",160,2014-12-20T12:27:43Z
"instagram",747,2014-12-20T12:27:45Z
"facebook",161,2014-12-20T13:28:16Z
"instagram",747,2014-12-20T13:28:19Z
"facebook",161,2014-12-20T14:28:49Z
"instagram",748,2014-12-20T14:28:51Z
"facebook",161,2014-12-20T15:29:22Z
"instagram",752,2014-12-20T15:29:25Z
"facebook",161,2014-12-20T16:29:56Z
"instagram",753,2014-12-20T16:29:59Z
"facebook",161,2014-12-20T17:30:31Z
"instagram",754,2014-12-20T17:30:33Z
"facebook",161,2014-12-20T18:31:04Z
"instagram",755,2014-12-20T18:31:07Z
"facebook",163,2014-12-20T19:31:38Z
"instagram",755,2014-12-20T19:31:41Z
"facebook",163,2014-12-20T20:32:12Z
"instagram",756,2014-12-20T20:32:15Z
"facebook",163,2014-12-20T21:32:46Z
"instagram",756,2014-12-20T21:32:48Z
"facebook",163,2014-12-20T22:33:19Z
"instagram",757,2014-12-20T22:33:22Z
"facebook",164,2014-12-20T23:33:53Z
"instagram",757,2014-12-20T23:33:56Z
"facebook",164,2014-12-21T00:34:27Z
"instagram",759,2014-12-21T00:34:30Z
"facebook",164,2014-12-21T01:35:01Z
"instagram",759,2014-12-21T01:35:03Z
"facebook",164,2014-12-21T02:35:34Z
"instagram",759,2014-12-21T02:35:36Z
"facebook",164,2014-12-21T03:36:07Z
"instagram",759,2014-12-21T03:36:10Z
"facebook",164,2014-12-21T04:36:42Z
"instagram",759,2014-12-21T04:36:44Z
"facebook",164,2014-12-21T05:37:15Z
"instagram",759,2014-12-21T05:37:18Z
"facebook",164,2014-12-21T06:37:49Z
"instagram",759,2014-12-21T06:37:51Z
"facebook",164,2014-12-21T07:38:21Z
"instagram",760,2014-12-21T07:38:24Z
"facebook",164,2014-12-21T08:38:54Z
"instagram",761,2014-12-21T08:38:56Z
"facebook",164,2014-12-21T09:39:27Z
"instagram",762,2014-12-21T09:39:30Z
"facebook",164,2014-12-21T10:40:01Z
"instagram",762,2014-12-21T10:40:03Z
"facebook",164,2014-12-21T11:40:33Z
"instagram",762,2014-12-21T11:40:36Z
"facebook",164,2014-12-21T12:41:06Z
"instagram",762,2014-12-21T12:41:09Z
"facebook",164,2014-12-21T13:41:39Z
"instagram",772,2014-12-21T13:41:42Z
"facebook",164,2014-12-21T14:42:14Z
"instagram",784,2014-12-21T14:42:16Z
"facebook",165,2014-12-21T15:42:48Z
"instagram",787,2014-12-21T15:42:51Z
"facebook",165,2014-12-21T16:43:24Z
"instagram",789,2014-12-21T16:43:26Z
"facebook",165,2014-12-21T17:44:00Z
