"","username","photosCount","commentsCount","likesCount","fit.cluster"
"433","giupi_igiagi_fitandfun",7,1,7,2
"434","seetoshare",0,1,1,5
"435","regi_lella",0,1,6,5
"436","ilavolpinasweety",0,1,6,5
"437","oh_master",0,1,2,5
"438","japanronin",0,1,1,5
"439","missbigpicture",0,1,3,5
"440","laura__bi",0,1,0,5
"441","allegra_v",0,1,1,5
"442","noras_world_",14,11,1,2
"443","mermatthews",0,1,5,5
"444","elvianzi",0,2,16,5
"445","passions_god",0,1,5,5
"446","expo2025",0,1,118,4
"447","daicuciniamo_conlaiaia",42,1,249,1
"448","verderame91",0,1,62,4
"449","parvati_mediadistanza",0,1,0,5
"450","barbiemagicacuoca",0,2,21,5
"451","teovalenza",0,1,7,5
"452","dorian_g26",0,1,7,5
"454","restaurantstimemilan",0,1,13,5
"455","ciriocuoreitaliano",0,1,119,4
"456","lefrancbuveur",0,1,0,5
"457","aboutgarden",0,2,6,5
"458","boldservices",0,1,0,5
"459","rossaassor",0,1,8,5
"460","slr104",0,1,0,5
"461","a7ic3",0,1,0,5
"462","spielkkind",0,1,0,5
"463","robertobonati",0,13,40,4
"464","ricettemagiche",30,14,48,3
"465","pianjina",0,1,1,5
"466","la_cris_",0,2,3,5
"467","dolce_salato_italiano",0,1,60,4
"468","zuccheroinvaligia",7,2,3,2
"469","panifici_bocconcino",28,6,22,3
"470","maghy_",0,5,12,5
"471","recettedubonheur",34,2,41,3
"472","langelapiazza",0,4,136,4
"473","projekflyt",0,1,2,5
"474","finestrasullago",0,1,36,5
"475","serexxsabrynax",0,3,0,5
"476","sacred_vanilla_love",0,1,44,4
"477","thebaggirl",0,1,2,5
"478","sguzzo1975",0,2,11,5
"479","vivilini",0,1,0,5
"480","lunasospesa",0,1,17,5
"481","milanocityufficiale",0,3,43,4
"482","joepalletta",0,1,8,5
"483","igersancona",0,1,10,5
"484","s1044333",0,1,39,4
"485","fitnesstigers",0,1,0,5
"486","bennydanny",0,1,2,5
"487","lana_fashionfreak",0,1,50,4
"488","bresciani_maria",0,1,0,5
"489","valentinatozza",0,1,22,5
"490","iosonofabioferrario",0,1,7,5
"491","erikamaggi14",9,4,8,2
"492","cuocaxamore",29,15,81,3
"493","cook_eat_love",77,8,60,6
"494","baketotheroots",0,1,10,5
"495","priscortez",0,1,2,5
"496","alicemarktol",0,1,1,5
"497","india_parker_",0,1,0,5
"498","federicchiog7",13,2,2,2
"499","da_ni_e_lag",0,1,4,5
"500","matteozante",0,1,3,5
"501","mounirboukamel",0,1,37,4
"502","sognotroppo73",0,2,37,4
"503","fpardeo",0,1,0,5
"504","silvia_ardu",4,1,1,5
"505","foto_napoli",0,1,2,5
"506","katyafp",4,4,169,4
"507","hypnosiskns",0,1,1,5
"508","365daysofminimelunchbox",0,1,1,5
"509","kotus",0,1,0,5
"510","ncnancychi",0,1,5,5
"511","saracardi",0,1,2,5
"512","civico30_lauramanda",0,1,27,5
"513","marzia.ambra",2,1,19,5
"514","36quaidessaveurs",0,3,43,4
"515","lauraccarbone",0,1,36,5
"516","particula_0",0,1,17,5
"517","lamiacasanelvento",0,2,15,5
"518","mrsgombs",0,1,4,5
"519","dexterina_instamamme",0,1,22,5
"520","keint_bar_rouge_shanghai",0,1,0,5
"521","lablondeenfarinee",13,1,40,2
"522","caolila2007",0,1,3,5
"523","holly8700",0,1,0,5
"524","grammasgift",0,1,0,5
"525","teresa_flamm",0,1,0,5
"526","davidejlanotte",0,1,1,5
"527","dolcebellezza1993",0,2,47,4
"528","vivi_gan",0,1,0,5
"529","kiarazak",0,1,0,5
"530","jenniferrossi95",0,4,1,5
"531","pinkrabbitt",0,1,7,5
"532","stevenfernandez",0,1,0,5
"533","lorena_grimaldi",0,1,2,5
"534","annnalisadatt",0,1,2,5
"535","barologirl",0,1,3,5
"536","leonardafibonachi",0,1,1,5
"537","viaggiofacile",0,1,7,5
"538","fediciabi",69,5,22,6
"539","leopop__",0,1,3,5
"540","thea7",135,3,26,7
"541","aasshhlliiee",0,1,1,5
"542","lindina80",0,1,16,5
"543","fancymistake",0,1,8,5
"544","amazingtattoos0",0,1,0,5
"545","leboisfacile",0,1,0,5
"546","imw8ng4u",0,1,0,5
"547","huntgramitalia",0,16,0,5
"548","vale_p20",2,4,1,5
"549","aitecch",26,5,54,3
"550","naughty_vasu",0,1,0,5
"551","andrea_ricordi",0,1,2,5
"552","roxrastan",0,1,0,5
"553","thisisjaylife",0,1,0,5
"554","elisappunti",11,1,212,1
"555","feat_food",0,5,82,4
"556","kesia1993",0,1,16,5
"557","giodiana78",0,1,5,5
"558","ciocopat",0,2,29,5
"559","azzurroshopping",0,1,0,5
"560","thinklikeabbas",0,1,0,5
"561","lulaida",0,1,3,5
"562","neyonic",0,1,3,5
"563","alessandramannelli",80,64,92,6
"564","phil_sonow",60,10,44,6
"565","boyrespectm",0,1,0,5
"566","alyssamiaxxi",0,1,2,5
"567","momy977",0,2,21,5
"568","belgianwino",0,1,2,5
"569","cristinaguastella",0,2,7,5
"570","luigi_marangolo",52,88,216,6
"571","maknlifemobetta",0,1,0,5
"572","sharefoodhunt",0,1,9,5
"573","edsablove",0,1,1,5
"574","talentellsite",0,1,10,5
"575","veganyummyyummy",0,1,0,5
"576","romonaflagstad",0,1,0,5
"577","marinavisic",0,1,2,5
"578","diegodidonato",4,1,2,5
"579","iloveapplegizmos",0,1,0,5
"580","w0moms",0,2,214,1
"581","marina.daniello.3",0,1,0,5
"582","katiar68",0,2,20,5
"583","fabri.xo",0,2,46,4
"584","la_greg74",15,5,12,2
"585","federicatj",29,12,556,1
"586","_ilazan_",8,7,7,2
"587","eufemia_potenza",0,1,1,5
"588","gotourismroma",0,1,4,5
"589","aleelab",0,2,17,5
"590","wandereatlive",0,1,33,5
"591","agatasaitta",0,1,0,5
"592","martatordin",0,1,0,5
"593","emiliatre",0,1,21,5
"594","photolabfull",0,1,2,5
"595","igeairi",0,2,30,5
"596","seeyouinitaly",0,1,1,5
"597","bseget",0,1,64,4
"598","elenaoricelli_",1,2,0,5
"599","mikiii8888",0,2,1,5
"600","lagodigarda_gardasee_lakegarda",0,5,228,1
"601","paola_ilfascinodellacucina",0,1,57,4
"602","plarqarchitects",0,3,9,5
"603","destinationshopping",10,3,8,2
"604","francescagronchi",0,1,2,5
"605","aroundpeginasquarehole",0,1,35,5
"606","klisjehjemmet",0,2,2,5
"607","marjagrazyas",0,1,2,5
"608","nadia_sara_e_compani",0,1,14,5
"609","sheisnoteve",0,1,0,5
"610","amorealcucchiaio",0,1,2,5
"611","botanica_lab",2,1,38,4
"612","maraancorati",0,2,113,4
"613","chiarettapess",0,1,7,5
"614","flamant.rose",0,1,0,5
"615","zetabea",0,3,41,4
"616","mydetoxinbali",0,1,1,5
"617","mary_micucinounlibro",10,1,19,2
"618","pochangace",0,1,0,5
"619","spiccia_",0,1,8,5
"620","markimark23",0,1,2,5
"621","idanaimi",0,1,3,5
"622","sweetcakesweet",0,2,49,4
"623","rawportland",0,1,0,5
"624","didaspo17",0,1,0,5
"625","miriamgreco75",0,2,411,1
"626","rosy__56",0,2,34,5
"627","mokkia71",0,1,14,5
"628","_dolcivisioni_",0,1,15,5
"629","letiziavanelli",3,3,7,5
"630","julia23here",0,1,0,5
"631","chicksoncaffeine",0,1,2,5
"632","mignate68",0,1,0,5
"633","silvia_parma",2,2,53,4
"634","food.and.beverage",0,1,116,4
"635","claudiadamb",0,5,277,1
"636","mehgantyler",0,1,0,5
"637","eatwithlorenzo",0,2,43,4
