timestamp,count,tag
2015-02-7,9259,EXPO2015dolceamaro
2015-02-9,53475,EXPO2015dolceamaro
2015-01-17,1149,EXPO2015fastslow
2015-01-18,8413,EXPO2015fastslow
2015-01-19,20453,EXPO2015fastslow
2015-01-20,33507,EXPO2015fastslow
2015-01-21,40229,EXPO2015fastslow
2015-01-22,50315,EXPO2015fastslow
2015-01-23,62810,EXPO2015fastslow
2015-01-24,65999,EXPO2015fastslow
2015-01-25,66377,EXPO2015fastslow
2015-01-26,67662,EXPO2015fastslow
2015-01-28,72437,EXPO2015fastslow
2015-01-29,72014,EXPO2015fastslow
2015-01-30,73117,EXPO2015fastslow
2015-01-31,73159,EXPO2015fastslow
2015-02-12,81556,EXPO2015fastslow
2015-02-13,82481,EXPO2015fastslow
2015-02-14,81887,EXPO2015fastslow
2015-02-16,80517,EXPO2015fastslow
2015-02-17,81942,EXPO2015fastslow
2015-02-18,81837,EXPO2015fastslow
2015-02-2,74916,EXPO2015fastslow
2015-02-3,75916,EXPO2015fastslow
2015-02-4,76686,EXPO2015fastslow
2015-02-5,77226,EXPO2015fastslow
2015-02-6,77622,EXPO2015fastslow
2015-02-7,78554,EXPO2015fastslow
2015-02-9,79435,EXPO2015fastslow
2014-12-13,6515,EXPO2015cibovita
2014-12-14,8413,EXPO2015cibovita
2014-12-15,20932,EXPO2015cibovita
2014-12-16,23605,EXPO2015cibovita
2014-12-17,27257,EXPO2015cibovita
2014-12-18,30382,EXPO2015cibovita
2014-12-19,43101,EXPO2015cibovita
2014-12-20,44142,EXPO2015cibovita
2014-12-21,44786,EXPO2015cibovita
2014-12-22,44773,EXPO2015cibovita
2014-12-23,44932,EXPO2015cibovita
2014-12-24,45121,EXPO2015cibovita
2014-12-25,45114,EXPO2015cibovita
2014-12-26,45323,EXPO2015cibovita
2014-12-27,45512,EXPO2015cibovita
2014-12-28,45446,EXPO2015cibovita
2015-01-10,47638,EXPO2015cibovita
2015-01-11,48234,EXPO2015cibovita
2015-01-12,48278,EXPO2015cibovita
2015-01-14,2475,EXPO2015cibovita
2015-01-15,48968,EXPO2015cibovita
2015-01-19,28778,EXPO2015cibovita
