username,photosCount,commentsCount,likesCount
"gianmarcodp",1,0,4
"saragenghi",3,0,4
"francefoc",9,0,4
"lucacorbi99",2,0,1
"alexanderplates",1,0,4
"acquerellss",1,0,1
"murossi",16,0,11
"mag230",2,0,23
"graziavitto",1,0,2
"la_cucina_di_ida",1,0,105
"lacucinasemplice",12,0,13
"valery458",3,0,1
"lokaluc",7,0,31
"hotelbacco",2,0,5
"mastropepp",33,0,77
"spaceorange",4,0,12
"july_queen_",1,0,3
"d_daariiaa",114,0,79
"kwizinz",30,0,179
"eyefromtheworld",54,0,72
"velocipedi",1,0,1
"pellegrinipatrizia",6,0,8
"annas_sweet_secrets",56,0,137
"ninoct79",4,0,7
"circuitigioielli",3,0,10
"martyrho",2,0,5
"greenfishccs",1,0,1
"vale_cannellaecioccolato",12,0,130
"andre_76mi",1,0,11
"pimpcocusmaster",3,0,5
"clarazannoni",1,0,22
"alessiasambugaro",39,0,4
"dolcely87",2,0,2
"pupette1",16,0,20
"miccopp",2,0,4
"incucinaconmarzia",8,0,133
"patwing75",12,0,102
"capanna92",1,0,14
"helocobuci",6,0,11
"giovannanails",30,0,64
"magicheatmosfere",3,0,10
"barbaramarsporru",59,0,132
"passionfood26",6,0,5
"raquel_ninot",5,0,4
"lullismile",1,0,5
"magazzinoalimentare",3,0,57
"kiaraelilly78",2,0,38
"marinaoddo",2,0,1
"arieltempesta",1,0,5
"ornyfattoincasaepiubuono",10,0,218
"lacasadiartu",6,0,221
"almabozz",4,0,57
"amaliaemme_",9,0,63
"vinces4n",3,0,2
"nicolawarbler",15,0,6
"albicocca11",1,0,3
"xtinyvesselsx",1,0,11
"coffeeandweb",1,0,3
"sognidicioccolata",2,0,285
"marinocco",2,0,15
"roscake",4,0,20
"gekio85",10,0,9
"liviasala",2,0,5
"rosyleolisy",5,0,31
"the_ghost_rider",4,0,77
"bersy_",4,0,1
"mental_shot",3,0,68
"scentedlittlepleasures",1,0,6
"ariannaricci_",1,0,8
"grazia9870",9,0,14
"stithc",16,0,8
"gianmarcoscilla",6,0,12
"dona_mea",1,0,15
"gaiacinnirella",3,0,10
"castrum_structure_",1,0,12
"euexpo2015",12,0,41
"chewtown",1,0,20
"unusualforchoice",8,0,1
"giappini",20,0,29
"bibliogirl84",1,0,2
"louisefeli_72",2,0,2
"fainatemeraria",1,0,1
"windows_of_vienna",1,0,1
"quantobastablog",13,0,48
"masseriamontepizzi",9,0,11
"silvia_nocera_gnam",21,0,29
"alenaterekhina",3,0,2
"thefoodjourney",12,0,13
"t_r_e_f_f_f_e",7,0,284
"fedy_z",8,0,8
"gloriett",1,0,91
"itsreeebe",50,0,41
"martinamapelli",1,0,48
"theitalianveganista",10,0,23
"bettydori",7,0,17
"sofia_quadranti",12,0,62
"alessiatricarico",67,0,2
"exporussia2015",2,0,35
"mariabornazzini",1,0,22
"_ritamore14_",1,0,5
"assaggiarelavitaapiccolimorsi",7,0,57
"cristinabernasconi",8,0,12
"jessikinajess7",1,0,9
"insta.andra",39,0,63
"maddy3392",1,0,3
"la_mari_prof",4,0,31
"giuliasphotography",2,0,21
"azzuchef",21,0,118
"giannacastagner",3,0,139
"pierrim55",1,0,1
"paolalc78",2,0,21
"maragliaaa",15,0,7
"tartufiefunghifortunatiantonio",2,0,2
"penny_ele",13,0,16
"irenegolino",28,0,147
"senhoramarquesa",5,0,12
"simocesari",1,0,4
"taniadietistabaroni",2,0,9
"falsaci",1,0,1
"annamaria___",22,0,5
"paolag_cupcake",1,0,16
"fede_spicaglia",7,0,15
"aboutmybakery",1,0,7
"istantan3a",4,0,8
"franc_napoli",2,0,15
"dolci_ricami_campus_francesca",2,0,1
"iomentalista",5,0,7
"cucinaconrache",9,0,49
"diavoletto74",5,0,41
"danielacice",2,0,17
"dibenedettoalessia",38,0,33
"alekone",6,0,14
"monique_s_2209",2,0,7
"marinstalli69",2,0,16
"chiaraschatzy",1,0,3
"gavizza",29,0,55
"centro_studi_casnati",2,0,1
"lety_lety88",8,0,70
"olyinthesky",1,0,21
