votes,timestamp
90,2015-01-11T10:02:25.331Z
90,2015-01-11T11:02:11.631Z
90,2015-01-11T12:02:24.352Z
90,2015-01-11T13:02:33.001Z
90,2015-01-11T14:03:46.909Z
90,2015-01-11T15:21:33.711Z
90,2015-01-11T16:21:11.010Z
90,2015-01-11T17:21:11.412Z
90,2015-01-11T18:21:06.028Z
90,2015-01-11T19:21:10.782Z
90,2015-01-11T20:21:29.951Z
90,2015-01-11T21:21:33.264Z
90,2015-01-11T22:21:28.778Z
90,2015-01-11T23:21:31.304Z
90,2015-01-12T00:21:39.360Z
90,2015-01-12T01:21:36.119Z
90,2015-01-12T02:21:33.125Z
90,2015-01-12T04:21:36.333Z
90,2015-01-12T05:21:48.590Z
90,2015-01-12T06:22:00.667Z
90,2015-01-12T07:21:54.174Z
90,2015-01-12T08:22:08.710Z
90,2015-01-12T08:59:06.865Z
90,2015-01-12T09:57:32.760Z
90,2015-01-12T10:57:52.477Z
90,2015-01-12T11:57:35.428Z
90,2015-01-12T12:57:34.244Z
90,2015-01-12T13:57:39.338Z
90,2015-01-12T14:57:40.958Z
90,2015-01-12T15:57:27.986Z
90,2015-01-12T16:57:40.553Z
90,2015-01-12T17:57:25.885Z
90,2015-01-12T18:57:35.295Z
90,2015-01-12T19:57:45.027Z
90,2015-01-12T20:57:34.439Z
90,2015-01-12T21:57:27.662Z
90,2015-01-12T22:57:40.802Z
90,2015-01-12T23:57:38.434Z
90,2015-01-13T00:57:35.865Z
90,2015-01-13T01:57:33.015Z
90,2015-01-13T02:57:30.685Z
90,2015-01-13T03:57:30.823Z
90,2015-01-13T04:57:40.560Z
90,2015-01-13T05:57:36.601Z
90,2015-01-13T06:57:31.222Z
90,2015-01-13T07:57:37.652Z
90,2015-01-13T08:57:25.858Z
90,2015-01-13T09:57:39.061Z
90,2015-01-13T10:57:39.254Z
90,2015-01-13T11:57:31.466Z
90,2015-01-13T12:57:40.706Z
90,2015-01-13T13:57:47.087Z
90,2015-01-13T14:57:42.930Z
90,2015-01-13T15:57:45.301Z
90,2015-01-13T16:57:44.900Z
90,2015-01-13T17:57:39.294Z
90,2015-01-13T18:57:40.719Z
90,2015-01-13T19:57:41.531Z
90,2015-01-13T20:57:49.391Z
90,2015-01-13T21:57:43.699Z
90,2015-01-13T22:57:37.853Z
90,2015-01-13T23:57:35.635Z
90,2015-01-14T00:57:42.979Z
90,2015-01-14T01:57:47.633Z
90,2015-01-14T02:57:50.183Z
90,2015-01-14T03:57:36.084Z
90,2015-01-14T04:57:35.290Z
90,2015-01-14T05:57:42.813Z
90,2015-01-14T06:57:44.682Z
90,2015-01-14T07:57:44.211Z
90,2015-01-14T08:57:46.288Z
90,2015-01-14T09:57:29.006Z
90,2015-01-14T10:57:47.747Z
90,2015-01-14T11:57:41.496Z
90,2015-01-14T12:57:43.659Z
90,2015-01-14T13:57:52.900Z
90,2015-01-14T14:57:40.520Z
90,2015-01-14T15:57:37.538Z
90,2015-01-15T14:50:43.153Z
90,2015-01-15T16:04:23.847Z
90,2015-01-15T17:04:13.692Z
90,2015-01-15T18:04:04.843Z
90,2015-01-15T19:51:01.057Z
90,2015-01-16T00:58:02.488Z
90,2015-01-16T01:57:58.697Z
90,2015-01-16T02:58:03.704Z
90,2015-01-16T03:58:14.708Z
90,2015-01-16T04:58:28.195Z
90,2015-01-16T05:58:01.318Z
90,2015-01-16T06:58:05.032Z
90,2015-01-16T07:58:35.402Z
90,2015-01-16T08:32:07.725Z
90,2015-01-16T09:32:18.900Z
90,2015-01-23T18:36:05.963Z
90,2015-01-23T19:36:06.211Z
90,2015-01-23T20:36:05.683Z
90,2015-01-23T21:36:18.998Z
90,2015-01-23T22:36:10.763Z
90,2015-01-23T23:36:10.958Z
90,2015-01-24T00:36:09.384Z
90,2015-01-24T01:36:06.950Z
90,2015-01-24T02:36:10.785Z
90,2015-01-24T03:36:07.432Z
90,2015-01-24T04:36:10.366Z
90,2015-01-24T05:36:14.053Z
90,2015-01-24T06:36:22.710Z
90,2015-01-24T07:36:21.628Z
90,2015-01-24T08:36:17.530Z
90,2015-01-24T09:36:18.954Z
90,2015-01-24T10:36:20.201Z
90,2015-01-24T11:36:15.161Z
90,2015-01-24T12:36:20.050Z
90,2015-01-24T13:36:16.586Z
90,2015-01-24T14:36:16.379Z
90,2015-01-24T15:36:22.887Z
90,2015-01-24T16:36:46.858Z
90,2015-01-24T17:36:58.077Z
90,2015-01-24T18:36:53.380Z
90,2015-01-24T19:36:55.724Z
90,2015-01-24T20:37:12.371Z
90,2015-01-24T21:37:04.668Z
90,2015-01-24T22:37:02.556Z
90,2015-01-24T23:37:02.111Z
90,2015-01-25T00:37:06.856Z
90,2015-01-25T01:37:03.044Z
90,2015-01-25T02:37:05.878Z
90,2015-01-25T03:37:06.311Z
90,2015-01-25T04:37:01.808Z
90,2015-01-25T05:37:04.933Z
90,2015-01-25T06:37:04.596Z
90,2015-01-25T07:37:06.081Z
90,2015-01-25T08:37:09.325Z
90,2015-01-25T09:37:05.775Z
90,2015-01-25T10:37:05.734Z
90,2015-01-25T11:37:13.890Z
90,2015-01-25T11:54:18.557Z
90,2015-01-25T12:53:59.817Z
90,2015-01-26T09:15:59.043Z
92,2015-01-28T13:50:52.234Z
92,2015-01-28T14:47:52.704Z
92,2015-01-28T15:47:50.074Z
92,2015-01-28T16:47:23.691Z
92,2015-01-28T17:48:21.845Z
92,2015-01-28T18:47:57.767Z
92,2015-01-28T19:47:17.399Z
92,2015-01-28T20:47:41.808Z
92,2015-01-28T21:47:47.133Z
92,2015-01-28T22:46:43.782Z
92,2015-01-28T23:47:02.389Z
92,2015-01-29T00:46:51.426Z
92,2015-01-29T01:46:21.237Z
92,2015-01-29T02:47:31.835Z
92,2015-02-02T14:07:48.982Z
92,2015-02-02T15:02:42.416Z
92,2015-02-02T16:03:15.491Z
92,2015-02-03T10:39:55.027Z
92,2015-02-03T11:38:14.044Z
92,2015-02-03T12:38:25.088Z
92,2015-02-03T13:38:13.545Z
92,2015-02-03T14:38:15.765Z
92,2015-02-03T15:43:15.292Z
92,2015-02-03T16:38:15.815Z
92,2015-02-03T17:38:23.358Z
92,2015-02-03T18:38:48.775Z
92,2015-02-03T19:38:17.497Z
92,2015-02-03T20:38:30.281Z
92,2015-02-03T21:38:23.752Z
92,2015-02-03T22:11:53.025Z
92,2015-02-03T23:11:43.107Z
92,2015-02-04T00:11:41.799Z
92,2015-02-04T01:11:39.838Z
92,2015-02-04T02:11:48.550Z
92,2015-02-04T03:11:41.405Z
92,2015-02-04T04:11:45.771Z
92,2015-02-04T05:11:49.310Z
92,2015-02-04T06:11:49.137Z
92,2015-02-04T07:12:37.875Z
92,2015-02-04T08:12:26.804Z
92,2015-02-04T09:17:24.223Z
92,2015-02-04T10:12:56.630Z
92,2015-02-04T11:13:02.254Z
92,2015-02-04T12:12:28.275Z
92,2015-02-04T13:12:33.841Z
92,2015-02-04T14:12:25.545Z
92,2015-02-04T15:12:35.160Z
92,2015-02-04T16:14:05.230Z
92,2015-02-04T17:12:46.336Z
92,2015-02-04T18:12:46.156Z
92,2015-02-04T19:12:55.618Z
92,2015-02-04T20:12:52.641Z
92,2015-02-04T21:13:00.487Z
92,2015-02-04T22:12:36.516Z
92,2015-02-04T23:12:54.310Z
92,2015-02-05T00:12:40.874Z
92,2015-02-05T01:12:37.389Z
92,2015-02-05T02:12:35.825Z
92,2015-02-05T03:12:27.790Z
92,2015-02-05T04:12:42.296Z
92,2015-02-05T05:12:48.878Z
93,2015-02-12T20:39:23.740Z
93,2015-02-12T21:31:12.948Z
93,2015-02-12T22:32:00.619Z
93,2015-02-12T23:32:37.078Z
93,2015-02-13T00:33:09.492Z
93,2015-02-13T01:33:39.518Z
93,2015-02-13T02:34:12.935Z
93,2015-02-13T03:34:46.120Z
93,2015-02-13T04:35:21.413Z
93,2015-02-13T05:35:55.853Z
93,2015-02-13T06:36:28.144Z
93,2015-02-13T07:37:04.075Z
93,2015-02-13T08:37:38.967Z
93,2015-02-13T09:38:11.438Z
93,2015-02-13T10:38:48.638Z
93,2015-02-13T11:39:23.058Z
93,2015-02-13T12:40:01.181Z
93,2015-02-13T13:40:34.027Z
93,2015-02-13T14:41:08.442Z
93,2015-02-13T15:41:51.912Z
93,2015-02-13T16:42:23.179Z
93,2015-02-13T17:42:55.816Z
93,2015-02-13T18:43:28.833Z
93,2015-02-13T19:44:03.882Z
