username,photosCount,commentsCount,likesCount
"mariannamel76",0.0,2,6
"simplypeperosa",0.0,1,1
"renatostefanini",0.0,3,0.0
"laura_casadei",0.0,1,0.0
"baketherapy",0.0,1,2
"michelalombardi",0.0,1,11
"pamy1107",0.0,1,0.0
"valeriapagliuso",0.0,1,3
"sabryeffe",0.0,1,0.0
"silvia_vi",0.0,2,0.0
"diananaming",0.0,1,5
"valeriaemme",0.0,1,15
"sauroxxxl",0.0,2,4
"loan7mistakes7",0.0,1,3
"cahmantovani",92,22,12
"orestinablu",0.0,1,8
"simi__78",0.0,2,168
"pierdomenico96",0.0,1,4
"ste_m73",0.0,1,0.0
"sayyesblog",0.0,1,2
"mirtillidiprico",0.0,1,5
"gatadaplar",0.0,1,25
"barberbistroatl",0.0,1,1
"femicorazon",0.0,1,7
"mlaterza_fit",0.0,1,0.0
"manuebarto",0.0,1,46
"nutritionlovingchef",0.0,1,0.0
"laangie",6,9,10
"_chiaretta93_",0.0,2,52
"danielaforesti",0.0,1,6
"1kndra_",0.0,1,0.0
"hilary23here",0.0,1,0.0
"lolimpo_",0.0,2,3
"prettyinmad",0.0,1,12
"gastronomiadaemilio",2,2,9
"sicilianicreativi",0.0,4,92
"dissonantyouth",0.0,1,2
"nastyamardare",0.0,1,0.0
"ariannagabrieli",0.0,3,151
"rossella_la",0.0,1,29
"unqis",0.0,1,0.0
"biancatecchiati",0.0,1,76
"occhiovunque",0.0,1,1
"frapoli94",11,1,76
"amisuradibimbo",17,1,14
"annamoru",78,78,138
"iridea13",1,1,1
"luciabini68",0.0,2,11
"letortediraffa",0.0,2,50
"ericu12",0.0,1,229
"ilenia_sapia",0.0,1,5
"mcvill",26,1,1
"futurvitto",0.0,1,20
"_larapessoa",0.0,1,1
"zeewschw",0.0,1,0.0
"axpope",0.0,1,1
"israel_davg",0.0,2,20
"mike.schorr",0.0,1,3
"lisabise",0.0,1,0.0
"vanessaegia",5,3,0.0
"ueppajuls",0.0,1,6
"monolocaledelgusto",208,2,82
"keepitcosy",0.0,1,0.0
"lellomokaspina",0.0,2,5
"terebuganville",0.0,1,22
"asifborgave",0.0,1,3
"marco_puntoni",0.0,1,1
"annafurno",0.0,1,45
"yourwrapgirltee",0.0,1,0.0
"adriana_chicco46",0.0,1,22
"gio_asc",0.0,1,2
"filippo_marchi",0.0,1,1
"flavide",1,1,0.0
"reppina",0.0,1,8
"ricetteracconti",3,2,24
"che940",0.0,1,3
"divergenceclothing",0.0,1,3
"poppivale81",0.0,2,7
"eraserhead_75",0.0,1,2
"angolodelleghiottonerie",133,2,181
"giupi_igiagi_fitandfun",7,1,7
"seetoshare",0.0,1,1
"regi_lella",0.0,1,6
"ilavolpinasweety",0.0,1,6
"oh_master",0.0,1,2
"japanronin",0.0,1,1
"missbigpicture",0.0,1,3
"laura__bi",0.0,1,0.0
"allegra_v",0.0,1,1
"noras_world_",14,11,1
"mermatthews",0.0,1,5
"elvianzi",0.0,2,16
"passions_god",0.0,1,5
"expo2025",0.0,1,118
"daicuciniamo_conlaiaia",42,1,249
"verderame91",0.0,1,62
"parvati_mediadistanza",0.0,1,0.0
"barbiemagicacuoca",0.0,2,21
"teovalenza",0.0,1,7
"dorian_g26",0.0,1,7
"__mariachiara1_",26,126,215
"restaurantstimemilan",0.0,1,13
"ciriocuoreitaliano",0.0,1,119
"lefrancbuveur",0.0,1,0.0
"aboutgarden",0.0,2,6
"boldservices",0.0,1,0.0
"rossaassor",0.0,1,8
"slr104",0.0,1,0.0
"a7ic3",0.0,1,0.0
"spielkkind",0.0,1,0.0
"robertobonati",0.0,13,40
"ricettemagiche",30,14,48
"pianjina",0.0,1,1
"la_cris_",0.0,2,3
"dolce_salato_italiano",0.0,1,60
