timestamp,providerId
2015-02-14T14:12:47.748Z,828102476058668065_19501610
2015-02-17T15:28:51.164Z,922396439361586311_1562823808
2015-02-16T23:05:15.631Z,921925000381368637_1376079641
2015-02-17T08:39:01.924Z,913680217680356246_5372279
2015-02-16T09:00:33.275Z,502571274933311424_261688524
2015-02-18T10:41:11.002Z,923033693570931208_195570197
2015-02-18T11:41:37.290Z,825042398484364385_50914862
2015-02-16T09:00:33.034Z,915117888038059928_1497931870
2015-02-16T10:00:43.687Z,795786129402628913_297468713
2015-02-16T10:00:43.562Z,895615668137331420_25331633
2015-02-14T21:13:13.984Z,892052933322966109_1486910992
2015-02-16T09:00:34.608Z,817580442251116084_373623022
2015-02-16T11:00:32.701Z,814656662626075749_6288808
2015-02-17T09:39:00.854Z,922287705797491766_1203024414
2015-02-18T10:41:10.989Z,923033690408788710_1546125551
2015-02-16T23:05:16.085Z,855938549286655043_635649820
2015-02-14T14:12:47.677Z,357251343982341423_19501610
2015-02-17T15:28:51.112Z,844902948157360563_25331633
2015-02-16T09:00:32.906Z,787407967711225467_1050663928
2015-02-20T23:02:24.791Z,924848925956053651_195570197
2015-02-20T10:00:05.594Z,924436939903322053_502518056
2015-02-17T20:36:08.816Z,916824416204233753_682479230
2015-02-14T13:12:47.054Z,695275732024278291_16389206
2015-02-16T14:00:33.968Z,921694499083206692_1159534687
2015-02-14T12:12:45.423Z,884756179279449017_1376079641
2015-02-14T13:12:46.548Z,838982347986560922_1258946016
2015-02-14T17:12:47.773Z,920327453755957160_306847678
2015-02-18T18:44:50.448Z,923265782945662416_1359349080
2015-02-17T09:39:00.840Z,922289762973280125_1457505024
2015-02-18T16:43:47.036Z,923219592238229746_5090665
2015-02-16T13:00:32.905Z,921654267687152896_29143530
2015-02-20T15:21:21.915Z,896359356396769255_536692082
2015-02-18T23:47:30.509Z,923410061630939793_1546125551
2015-02-21T23:30:16.685Z,907762115904315922_1546125551
2015-02-16T09:00:34.557Z,697776982874603206_373623022
2015-02-20T17:23:05.104Z,822494110465865441_49252764
2015-02-17T21:36:28.613Z,922631192325529070_682479230
2015-02-19T23:52:21.560Z,348436937012130384_268578819
2015-02-19T15:45:38.163Z,923738630194855272_1552126150
2015-02-17T16:29:11.552Z,873716342652432494_1056869123
2015-02-14T14:12:47.832Z,875322757600056899_642701092
2015-02-14T12:12:46.428Z,466835519931354079_247905705
2015-02-19T15:45:37.945Z,911423219747126892_1552126150
2015-02-17T16:29:11.636Z,905611822428614799_1056869123
2015-02-16T12:00:32.906Z,921568021791890313_174869341
2015-02-14T12:12:45.489Z,584898803430787506_247905705
2015-02-17T08:39:00.669Z,922259212183037367_1457505024
2015-02-19T15:45:37.659Z,747681254037443575_316271971
